N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"57,400","상승
				1,400",+2.50%,100,"3,426,655","5,969,783",51.56,"17,284,560",12.16,4.15,
2,SK하이닉스,"179,000","상승
				2,300",+1.30%,"5,000","1,303,124","728,002",54.46,"2,164,370",12.49,-15.61,
3,LG에너지솔루션,"421,000","상승
				16,000",+3.95%,500,"985,140","234,000",4.92,"246,401",-271.61,6.36,
4,삼성바이오로직스,"954,000","상승
				20,000",+2.14%,"2,500","679,000","71,174",13.19,"47,532",64.51,9.12,
5,현대차,"219,500","상승
				2,500",+1.15%,"5,000","459,669","209,416",40.05,"390,229",4.80,13.68,
6,삼성전자우,"49,500","상승
				1,400",+2.91%,100,"407,329","822,887",74.74,"1,787,136",10.49,N/A,
7,기아,"97,700","하락
				100",-0.10%,"5,000","390,662","399,858",39.33,"631,230",4.06,20.44,
8,KB금융,"98,700","상승
				300",+0.30%,"5,000","388,413","393,528",78.07,"361,812",9.02,8.44,
9,셀트리온,"178,100","상승
				4,600",+2.65%,"1,000","386,617","217,079",22.85,"288,969",190.69,5.07,
10,NAVER,"191,600","상승
				1,600",+0.84%,100,"303,565","158,437",45.44,"643,261",18.48,4.41,
11,신한지주,"56,300","상승
				600",+1.08%,"5,000","283,440","503,445",61.42,"689,825",6.44,8.36,
12,POSCO홀딩스,"306,000","상승
				2,500",+0.82%,"5,000","252,831","82,624",28.59,"168,473",19.57,3.18,
13,현대모비스,"249,000","하락
				5,000",-1.97%,"5,000","231,558","92,995",41.26,"142,866",6.79,8.73,
14,삼성물산,"124,700","상승
				1,700",+1.38%,100,"221,697","177,784",26.62,"116,114",10.70,7.28,
15,LG화학,"308,500","상승
				10,500",+3.52%,"5,000","217,777","70,592",34.22,"170,492",85.29,4.20,
16,삼성생명,"106,700","상승
				200",+0.19%,500,"213,400","200,000",21.83,"81,920",9.32,4.95,
17,HD현대중공업,"236,000","하락
				1,000",-0.42%,"5,000","209,505","88,773",10.73,"213,849",73.27,0.47,
18,메리츠금융지주,"103,300","하락
				1,300",-1.24%,500,"197,014","190,720",16.65,"178,562",9.26,28.11,
19,삼성SDI,"279,000","상승
				10,000",+3.72%,"5,000","191,853","68,765",36.69,"258,314",11.51,11.48,
20,고려아연,"914,000","하락
				32,000",-3.38%,"5,000","189,228","20,703",14.08,"17,911",30.24,5.72,
21,SK이노베이션,"121,000","상승
				3,400",+2.89%,"5,000","182,752","151,035",14.08,"243,057",-8.90,1.22,
22,하나금융지주,"63,200","상승
				700",+1.12%,"5,000","181,536","287,241",68.09,"490,393",5.34,9.01,
23,삼성화재,"375,500","하락
				5,500",-1.44%,500,"177,893","47,375",54.07,"80,877",9.91,12.73,
24,HMM,"18,890","상승
				300",+1.61%,"5,000","166,428","881,039",9.59,"914,802",4.19,4.59,
25,한화에어로스페이스,"356,500","하락
				23,000",-6.06%,"5,000","162,497","45,581",43.22,"277,317",29.21,25.60,
26,카카오,"36,200","상승
				150",+0.42%,100,"160,566","443,553",26.70,"501,894",-17.88,-10.26,
